normalized_query,query_type,reward,risky
use mysql;,USE,0,0
"-- copyright (c) 0, 0, oracle and/or its affiliates.",UNK,0,0
set @is_mysql_encrypted = (select encryption from information_schema.innodb_tablespaces where name='str');,SET,1,0
-- tables below are not treated as dd tables by mysql server yet.,UNK,0,0
"# added sql_mode elements and making it as set, instead of enum",UNK,0,0
"set @cmd = ""create table if not exists db",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists db,CREATE,0,0
drop prepare stmt;,DROP,0,0
-- remember for later if db table already existed,UNK,0,0
"set @cmd = ""create table if not exists user",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists user,CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""create table if not exists default_roles",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists default_roles,CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""create table if not exists role_edges",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists role_edges,CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""create table if not exists global_grants",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists global_grants,CREATE,0,0
drop prepare stmt;,DROP,0,0
-- remember for later if user table already existed,UNK,0,0
"set @cmd = ""create table if not exists password_history",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
create table if not exists password_history,CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists func ( name char(0) binary default 'str' not null, ret tinyint default 'str' not null, dl char(0) default 'str' not null, type enum ('str','str') collate utf8mb3_general_ci not null, primary key (name) ) engine=innodb stats_persistent=0 character set utf8mb3 collate utf8mb3_bin comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists plugin ( name varchar(0) default 'str' not null, dl varchar(0) default 'str' not null, primary key (name) ) engine=innodb stats_persistent=0 character set utf8mb3 collate utf8mb3_general_ci comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists help_topic ( help_topic_id int unsigned not null, name char(0) not null, help_category_id smallint unsigned not null, description text not null, example text not null, url text not null, primary key (help_topic_id), unique index (name) ) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists help_category ( help_category_id smallint unsigned not null, name char(0) not null, parent_category_id smallint unsigned null, url text not null, primary key (help_category_id), unique index (name) ) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
execute stmt;,EXECUTE,0,0
"create table if not exists help_relation ( help_topic_id int unsigned not null, help_keyword_id int unsigned not null, primary key (help_keyword_id, help_topic_id) ) engine=innodb stats_persistent=0 character set utf8mb3 comment='str' row_format=dynamic tablespace=mysql encryption='str'",CREATE,0,0
drop prepare stmt;,DROP,0,0
"set @cmd = ""str"";",SET,0,0
"set @str = concat(@cmd, ""str"");",SET,0,0
prepare stmt from @str;,PREPARE,0,0
